sample_i,t_ms,roi_margin_ratio,low_clip,high_clip,p01,p05,p50,p95,p99,contrast,dynamic_range,exposure_bad,reasons
0,1758492775151.019043,0.050000,0.196047,0.005287,0.000000,0.000000,119.000000,210.000000,241.000000,241.000000,210.000000,0,
1,1758492775317.307861,0.050000,0.194446,0.004993,0.000000,0.000000,117.000000,208.000000,241.000000,241.000000,208.000000,0,
2,1758492775483.908203,0.050000,0.193242,0.005295,0.000000,0.000000,118.000000,210.000000,242.000000,242.000000,210.000000,0,
3,1758492775650.767090,0.050000,0.190615,0.005021,0.000000,0.000000,119.000000,210.000000,241.000000,241.000000,210.000000,0,
4,1758492775817.626953,0.050000,0.184115,0.005121,0.000000,0.000000,120.000000,211.000000,242.000000,242.000000,211.000000,0,
5,1758492775983.785889,0.050000,0.159966,0.004860,0.000000,0.000000,129.000000,212.000000,242.000000,242.000000,212.000000,0,
6,1758492776151.008057,0.050000,0.193393,0.002669,0.000000,0.000000,122.000000,207.000000,235.000000,235.000000,207.000000,0,
7,1758492776317.555908,0.050000,0.198566,0.002437,0.000000,0.000000,120.000000,204.000000,233.000000,233.000000,204.000000,0,
8,1758492776484.182129,0.050000,0.199725,0.002456,0.000000,0.000000,120.000000,207.000000,234.000000,234.000000,207.000000,0,
9,1758492776651.041016,0.050000,0.200325,0.001496,0.000000,0.000000,120.000000,205.000000,232.000000,232.000000,205.000000,0,
10,1758492776817.901123,0.050000,0.200248,0.001593,0.000000,0.000000,120.000000,205.000000,232.000000,232.000000,205.000000,0,
11,1758492776984.785889,0.050000,0.201396,0.003021,0.000000,0.000000,120.000000,207.000000,236.000000,236.000000,207.000000,0,
12,1758492777151.645020,0.050000,0.200732,0.005590,0.000000,0.000000,121.000000,210.000000,242.000000,242.000000,210.000000,0,
13,1758492777318.503906,0.050000,0.198782,0.006979,0.000000,0.000000,121.000000,211.000000,245.000000,245.000000,211.000000,0,
14,1758492777485.571045,0.050000,0.196887,0.007621,0.000000,0.000000,121.000000,211.000000,246.000000,246.000000,211.000000,0,
15,1758492777652.456055,0.050000,0.194764,0.007912,0.000000,0.000000,121.000000,212.000000,247.000000,247.000000,212.000000,0,
16,1758492777819.315918,0.050000,0.191317,0.007578,0.000000,0.000000,121.000000,210.000000,245.000000,245.000000,210.000000,0,
17,1758492777986.175049,0.050000,0.192578,0.006159,0.000000,0.000000,119.000000,207.000000,241.000000,241.000000,207.000000,0,
18,1758492778153.266846,0.050000,0.193886,0.004439,0.000000,0.000000,115.000000,200.000000,233.000000,233.000000,200.000000,0,
19,1758492778320.126953,0.050000,0.197824,0.004435,0.000000,0.000000,112.000000,197.000000,234.000000,234.000000,197.000000,0,
20,1758492778487.166992,0.050000,0.207855,0.004282,0.000000,0.000000,105.000000,199.000000,236.000000,236.000000,199.000000,0,
21,1758492778654.053223,0.050000,0.217770,0.005409,0.000000,0.000000,96.000000,202.000000,241.000000,241.000000,202.000000,0,
22,1758492778820.912109,0.050000,0.227052,0.007793,0.000000,0.000000,91.000000,206.000000,246.000000,246.000000,206.000000,0,
23,1758492778987.770996,0.050000,0.235488,0.010268,0.000000,0.000000,87.000000,211.000000,250.000000,250.000000,211.000000,0,
24,1758492779154.629883,0.050000,0.237344,0.012391,0.000000,0.000000,82.000000,215.000000,252.000000,252.000000,215.000000,0,
25,1758492779321.516113,0.050000,0.232559,0.013709,0.000000,0.000000,80.000000,219.000000,252.000000,252.000000,219.000000,0,
26,1758492779488.375000,0.050000,0.231414,0.014521,0.000000,0.000000,81.000000,220.000000,252.000000,252.000000,220.000000,0,
27,1758492779655.234131,0.050000,0.231852,0.013506,0.000000,0.000000,82.000000,219.000000,252.000000,252.000000,219.000000,0,
28,1758492779822.093018,0.050000,0.229353,0.012846,0.000000,0.000000,83.000000,219.000000,252.000000,252.000000,219.000000,0,
29,1758492779988.953125,0.050000,0.221813,0.010276,0.000000,0.000000,84.000000,217.000000,250.000000,250.000000,217.000000,0,
30,1758492780155.837891,0.050000,0.212801,0.006389,0.000000,0.000000,89.000000,219.000000,244.000000,244.000000,219.000000,0,
31,1758492780321.893066,0.050000,0.212703,0.007003,0.000000,0.000000,92.000000,223.000000,247.000000,247.000000,223.000000,0,
32,1758492780489.712158,0.050000,0.206626,0.007900,0.000000,0.000000,89.000000,223.000000,247.000000,247.000000,223.000000,0,
33,1758492780655.611816,0.050000,0.204664,0.004885,0.000000,0.000000,83.000000,222.000000,245.000000,245.000000,222.000000,0,
34,1758492780823.456055,0.050000,0.204675,0.004876,0.000000,0.000000,77.000000,217.000000,242.000000,242.000000,217.000000,0,
35,1758492780989.355957,0.050000,0.200337,0.007330,0.000000,0.000000,77.000000,214.000000,244.000000,244.000000,214.000000,0,
36,1758492781157.175049,0.050000,0.193412,0.011371,0.000000,0.000000,82.000000,217.000000,251.000000,251.000000,217.000000,0,
37,1758492781323.074951,0.050000,0.193895,0.015876,0.000000,0.000000,85.000000,221.000000,252.000000,252.000000,221.000000,0,
38,1758492781490.918945,0.050000,0.199840,0.021974,0.000000,0.000000,87.000000,226.000000,252.000000,252.000000,226.000000,0,
39,1758492781656.818848,0.050000,0.204912,0.025117,0.000000,0.000000,89.000000,228.000000,252.000000,252.000000,228.000000,0,
40,1758492781824.637939,0.050000,0.207594,0.026759,0.000000,0.000000,88.000000,228.000000,252.000000,252.000000,228.000000,0,
41,1758492781990.538086,0.050000,0.210553,0.026116,0.000000,0.000000,86.000000,226.000000,252.000000,252.000000,226.000000,0,
42,1758492782158.382080,0.050000,0.214920,0.028756,0.000000,0.000000,84.000000,228.000000,253.000000,253.000000,228.000000,0,
43,1758492782324.282227,0.050000,0.215873,0.023417,0.000000,0.000000,84.000000,222.000000,252.000000,252.000000,222.000000,0,
